	CD4-positive, alpha-beta T cell	CD8-positive, alpha-beta T cell	capillary endothelial cell	endothelial cell	endothelial cell of artery	fibroblast	macrophage	mast cell	natural killer cell	neutrophil	pericyte	smooth muscle cell	vein endothelial cell
INTS9	0	0.00858102	1.08325	0.0975668	0.650229	0.105605	0	0	0	0	0.0798548	0.0179752	0
INTU	0	0	0.000892616	0.0088725	0.65319	0.0487888	0.0599937	0	0	0	0.027843	0.108068	0
INVS	0.0864453	0.0101039	0	0.0125603	0	0.0890751	0.0735418	0.0281758	0.000964187	0	0.00112545	0.102612	0
IP6K1	0.0383493	0	0	0.106386	0.184094	0.036519	0.215862	0	0	0	0.166498	0.076803	0
IP6K2	0.152564	0	0.479844	0.236853	0.516181	0.370069	0.140141	0.0312226	0.287484	0	0.196231	0.632171	0.00735311
IPCEF1	0.0780507	0.260197	0	0	0	0	0.0101258	0	0.39502	0	0	0	0
IPMK	0	0.00234766	0	0.000845653	0	0.0151698	0.0715526	0	0	0	0.0398499	0	0
IPO11	0.00363957	0.143433	0.000472377	0.194959	1.15221	0.0448655	0.00274641	0.000408383	0	0	0.170527	0	0.0233838
IPO13	0	0	0	0	0.672345	0.0767808	0.0189095	0	0	0	0.0810712	0	0
IPO4	0	0	0	0.0621875	0	0.0371188	0	0	0	0	0.00247127	0	0
IPO5	0.0721906	0.24538	0	0.322501	0.40287	0.431638	0.181045	0.0642646	0	0	0.417003	0.178648	0
IPO7	0.0211029	0.109019	0.149302	0.118197	0.369709	0.192159	0.357064	0.00997939	0	0	0.108122	0.0566512	0.268619
IPO8	0	0.0315331	0	0.0181642	0.112183	0.13207	0.000112222	0.00623002	0	0	0.0930024	0	0
IPO9	0.0705854	0	0.0370875	0.22538	0.0244402	0.184323	0.342298	0.0642875	0	0	0.268007	0.0452802	0.249827
IPP	0.0991742	0.00710292	0.0609303	0.0348696	0	0.0264886	0	0.00109863	0	0	0.0503972	0	0
IPPK	0	0	0	0.00144125	0	0.0395186	0.0464587	0	0	0	0	0	0
IQCA1	0	0.00015196	0	0	0	0.0201836	0	0	0	0	0	0	0
IQCB1	0.0827536	0.120748	0	0.0237841	0	0.0409316	0.0786452	0	0	0	0.0281473	0	0
IQCE	0	0.00107392	0	0.043927	0.0407111	0.0383743	0.0906383	0	0	0	0.0303591	0.13092	0.131894
IQCG	0.000496567	0.0464958	0	0.0015511	0	0.0485974	0	0.00774598	0	0	4.0813e-05	0.0176985	0
IQCH-AS1	0.00976793	0.053975	0.000892616	0.00873782	0	0.034789	0.0896368	0	0	0	0.0582046	0.00155721	0
IQCK	0	0	0.360905	0.172104	0	0.10993	0	0	0	0	0	0.077838	0
IQGAP1	0.552852	0.784912	0.916577	0.901968	0.481864	0.574907	0.816465	0.657837	0.736121	0.348134	0.5143	0.432426	0.935089
IQGAP2	0.805451	0.280425	0	0.0348692	0	6.59623e-05	0.52164	0.0640603	0.580361	0.792209	0	0.319985	0
IQSEC1	0	0.113305	0	0.116746	0.553432	0.196103	0.174321	0	0.368535	0	0.241785	0.184028	0
IQSEC2	0	0	0	0	0	0.00283758	0.000150783	0.000245037	0	0	0.000220699	0	0
IQSEC3	0	0	0	0	0	0.0399822	0	0	0	0	0	0	0
IQUB	0	0	0	0	0	0.0014632	0.014356	0	0	0	3.26795e-05	0	0
IRAK1	0.0665188	0.0094869	0	0.0992634	0	0.119353	0.291213	0	0	0	0.106498	0.149386	0
IRAK1BP1	0.00151332	0	0	0	0.235316	0.0288873	0	0.000879576	0	0	0.000142753	0	0
IRAK2	0.000216378	0	0	0.0177358	0	0	0.0566492	0	0	0	0	0	0
IRAK3	0	0	1.64299	0.273565	0	0.21579	0.346319	0.336537	0	0.0539846	0.11686	0.00013741	0.789456
IRAK4	0.194679	0.0816027	0	0.0741041	0.360579	0.1143	0.0212003	0.203249	0.40159	1.20045	0.0333547	0.190234	0.041728
IREB2	0.0562193	0.0295379	0.012575	0.0105418	0	0.144837	0.184667	0.10308	0	0	0.0741357	0.138856	0.832274
IRF1	0.652584	0.328782	0.0298849	0.570804	0.568343	0.448076	0.498635	0.13175	0.362632	0	0.233623	0.157491	0.0127978
IRF2	0.227283	0.208536	0.477074	0.175304	1.20752	0.124314	0.389344	0.363003	0	0	0.252022	0.0960575	0.76584
IRF2BP2	0.319675	0.172177	0	0.498741	1.32999	0.581607	0.431137	0.381287	0	0.0671564	0.471104	0.425495	0.393809
IRF2BPL	0.195995	0.0368716	0.0268721	0.0410895	0.215797	0.184277	0.0942198	0.0140178	0.401912	0	0.151538	0.138213	0.00369007
IRF3	0.162936	0.173743	0	0.145204	0.892627	0.0495031	0.13724	0.245887	0	0	0.0540619	0.0755215	0
IRF4	0.184742	0.0650329	0	0	0	0	0.00485438	0	0.361446	0	0	0	0
IRF5	0	0.000151747	0	0	0	0	0.39494	0	0	0	0	0	0
IRF6	0	0	0	0.0384056	0.0597831	0	0	0.0136413	0	0	2.94357e-05	0.0223379	0
IRF7	0.061795	0	0.518523	0.0515847	0.579696	0.0056808	0.0173478	0	0	0	0.0433388	0	0
IRF8	0.142712	0.203439	0	0.0774613	0	0.0219481	0.422979	0	1.24791	0	0	0	0
IRF9	0.193993	0.0790047	0.37247	0.0581546	0.189164	0.0429932	0.0849152	0	0	0	0.115366	0.0697225	0.776993
IRGQ	0	0	0.269481	0.000267348	0.550191	0.0564196	0.113127	0	0	0	0.0164268	0.132029	0
IRS1	0	0	0	0	0	0.109054	0	0	0	0	0.0170157	0	0
IRS2	0.0715125	0.0616561	0	0	0	0.149863	0.450386	0.700326	0	1.47517	0.044238	0.129577	0.000925074
IRX3	0	0	0	0	0	0.035209	0	0	0	0	0	0	0
IRX6	0	0	0	0	0	0.0619369	0	0	0	0	0	0	0
ISCA1	0.179481	0.149122	0.27156	0.166687	0.425984	0.212116	0.00261238	0	0	0	0.223623	0.207863	0.894027
ISCA2	0.306463	0.0978548	0.745316	0.173753	0.421156	0.171042	0.181327	0.651129	0	0	0.162815	0.0412369	0
ISCU	0.4895	0.777489	0.585739	0.693074	2.03793	1.06043	0.544489	1.34282	0.44628	0	1.41172	1.46284	0
ISG15	0.384629	0.401284	0.689159	0.210726	1.32755	0.0962627	0.205671	0.171004	0.899328	0	0.58367	0.54703	0.982752
ISG20	0.712337	1.37552	0	0.0990268	0	0.0338203	0.0905988	0	0.929892	0	0.038188	0.0575093	0
ISG20L2	0.0854846	0.271385	0	0.00179086	0.595698	0.0305183	0.0538633	0.348901	0	0	0.243531	0.134389	0
ISLR	0	0	0	0	0	0.71582	0	0	0	0	0.291905	0.456201	0
ISM1	0.0558192	0	0	0	0	0.723579	0	0	0	0	0	0	0
ISOC1	0.0602962	0.254804	0	0.0511612	0	0.076758	0.0786332	0	0	0	0.0196598	0.264746	0
ISOC2	0	0	0	0.021069	0	0.0670843	0.20016	0	0	0	0.0644496	0.00167958	0
IST1	0.295165	0.31645	0.684703	0.682652	0.0893808	0.505993	0.360131	0	0	0	0.407461	0.31916	1.96156
ISY1	0.10599	0.148909	0.80479	0.113917	0.448543	0.17632	0.0825315	0.480515	0	0	0.149871	0	0.0581706
ISYNA1	0.146586	0.261447	0	0.159092	0	0.0361247	0	0.396208	0.432347	0	1.49125	0.340277	0
ITCH	0.171084	0.168958	0.137521	0.109227	0	0.160843	0.0420014	0.224708	0.349097	0	0.0864501	0.102113	0.00731219
ITFG1	0.0135311	0.0411116	0.637082	0.210632	1.3952	0.54342	0.195666	0	0	0	0.265295	0.221192	0.146586
ITFG2	0.0532561	0.152093	0	0.0637523	0.247565	0.0350595	0.0357423	0	0.557539	0	0.15893	0.0743043	0
ITGA1	0.240393	0.141583	0.593236	0.420494	0	0.0574566	0.000271287	0	0	0	0.47477	0.599678	0
ITGA10	0	0	0	0.355605	0	0.0471395	0	0.071251	0	0	0.0247969	0.0659648	1.33252
ITGA11	0	0	0	0	0	0.252422	0.00159348	0	0	0	0.192331	0.961846	0
ITGA2	0.046203	0	0	0.198654	0	0.00796036	0	0	0	0	5.87177e-05	0.00013713	0
ITGA3	0.036066	0	0.0971162	0.0446531	0.23686	0.00815383	0.0188296	0	0	0	0.154805	0.310421	0
ITGA4	0.107698	0.295566	0.000472377	0	0	0	0.0224208	0	0.937717	0	0.0666252	0	0
ITGA5	0.0567694	0	0.622169	0.467555	0.430678	0.314991	0.329049	0	0	0	0.120598	0.538803	0
ITGA6	0.181608	0.252949	1.24962	0.593491	0.416039	0.000304861	0.00944596	0	0	0	0	0	0.0100829
ITGA7	0	0	0	0.000234973	0	0.0544264	0	0	0	0	0.877134	0.293495	0
ITGA8	0	0	0	0	0	0	0	0	0	0	0.124487	1.95053	0
ITGA9	0	0	0	0.208157	0.735615	0.155749	0	0.485598	0	0	0.00947538	0.000262097	0
ITGAE	0.511618	0.548321	0	0.241361	0	0.339107	0	0.18193	0.29421	0	0.319263	0.141787	0.52236
ITGAL	0.154322	0.482154	0	5.50184e-05	0	2.09719e-05	0.00488441	0	0.359428	0	0	0	0
ITGAM	0	0	0	0	0	0	0.77969	0.49162	0	0	0	8.96899e-05	0
ITGAV	0.0055957	0.0929829	0.0352237	0.0779726	0.641591	0.22245	0.30502	0	0	0.0671564	0.296736	0.179658	0.420066
ITGAX	0	0.0203003	0	0	0	0	0.26066	0.42963	0.133145	2.29323	0	0	0
ITGB1	0.374284	0.590204	0.777425	0.739399	0.687739	0.59072	0.404073	0.197473	0.599983	0	0.940557	1.53939	0.777121
ITGB1BP1	0.225346	0.53829	0.377029	0.137803	0.584702	0.55863	0.214956	0	0.107908	0	0.775094	0.592005	0
ITGB2	0.3379	0.683494	0	4.00529e-05	0	0	1.16287	0.296709	1.4434	0	0	0	0
ITGB2-AS1	0.0863488	0.00653178	0	0	0	0	0.0974131	0	0	0	0	0	0
ITGB3	0	0	0	0	0.0102995	0.020435	0.000630022	0.121848	0	0	0.0579653	0.20338	0
ITGB3BP	0.00747475	0.0173992	0	0.0669443	0	0.114247	0.00116638	0.0406559	0	0	0.113202	0.0553725	0.651659
ITGB4	0	0	0	0.475358	0.726798	0	0	0.00379416	0	0	0	0	1.79802
ITGB5	0	9.62956e-05	0.370616	0.0470433	1.75741	0.438075	0.0979352	0	0	0	0.277608	0.561509	0
ITGB7	0	0.088927	0	0	0	5.82659e-05	0	0	0	0	0	0	0
ITGB8	0	0	0	0.000432703	0.635015	0.0627282	0.0797927	0.369464	0	0	0.0904631	0.0518439	0
ITGBL1	0	0	0	0	0	0.198638	0	0	0	0	0.0460147	0.0976461	0
ITIH4	0	0	0	0	0	0	0	0	0	0	0.000341702	0.00840162	0
ITIH5	0	0	0	0.0984235	0	0.0776845	0.00141381	0	0	0	0.127025	0.104555	0
ITK	0.636217	0.167242	0	0	0	0	0	0.0111047	0	0	0	0	0
ITM2A	0.587255	1.08012	2.44431	1.79647	1.43245	1.63305	0	0.538793	0	0	0	0	2.47789
ITM2B	1.2185	1.58234	3.4119	3.06759	3.27335	2.44663	1.65092	2.15338	1.55519	0.716634	2.02946	1.87632	3.90892
ITM2C	0.122263	0.093361	0	0	0	0.0109228	0.0445822	0	0.180379	0	0.191693	0.0340299	0
ITPA	0.0424643	0	0.408576	0.0732685	0	0.373924	0.108864	0.166174	0.9233	0	0.257622	0.170045	0
ITPK1	0.167813	0	0	0.0109437	0	0.0544975	0.0437922	0	0	0	0.125412	0.0375306	0
ITPKB	0.168477	0.260474	0.707055	0.315362	0	0.0541322	0.0535856	0	0	0	0	0.230101	0.64049
ITPKC	0.0141756	0	0	0.376808	0	0.125169	0.131317	0	0	0	0.0572654	0.0837633	0.686164
ITPR1	0.196949	0	0	0.0826243	0.232759	0.0745669	0.0222744	1.11393	0.614114	0	0.171187	0.273172	0.431069
ITPR2	0.14349	0.0621484	0	0.170854	0.935641	0.188987	0.260757	0	0	0	0	0	0
ITPR3	0.00934538	0.087117	0	0.0777964	0	0.121536	0	0	0.114211	0	0	0.0285555	0
ITPRIP	0	0	0.0693771	0.163776	0	0.0491764	0.255908	0	0	0	0.0351179	0.0995452	0
ITPRIPL1	0	0.0423855	0.369455	0.0227691	0	0	0	0	0.275901	0.0539846	0	0	0.0357297
ITPRIPL2	0	0	0	0.0230741	0	0.137124	0.164725	0	0	0	0.101707	0.163233	0
ITSN1	0.000335506	0	0	0.0132776	0.00172758	0.416912	0.739994	0	0	0	0.318442	0.213046	0
ITSN2	0.286728	0.564518	0	0.0870573	1.20435	0.275533	0.965574	0.461455	0.0459909	2.30352	0.112221	0.113993	0
IVD	0.162008	0.0607617	0	0.201145	0	0.273551	0.146028	0.58486	0	0	0.348769	0.112898	0
IVNS1ABP	0.50782	0.225846	0	0.284364	0	0.0894457	0.781447	0	0.664954	0	0.00266317	0.0963988	0
IWS1	0.041932	0.017909	0.408344	0.140663	0.712137	0.0778036	0.130022	0.0477093	0.392662	0	0.232317	0	0
IZUMO1	0.00137924	0	0	0.00517422	0	2.12311e-05	0.000105225	0	0	0	0.000571464	5.67179e-05	0
JAG1	0	0	0	0.121375	0.575108	0.284926	0	0	0	0	0.878544	0.322226	0
JAG2	0.076513	0	0	0	0.131216	0	0	0	0	0	0	0	0
JAGN1	0.137361	0.206303	0	0.214114	0	0.422259	0.155719	0.407809	0	0	0.0255272	0.197039	0
JAK1	0.516155	1.03706	0.381695	0.604277	0.56897	0.473496	0.487182	0.299979	0.920491	1.20178	0.562513	0.616236	0
JAK2	0.00092061	0.000227816	0	0	0	0.0131635	0.162235	0	0	0	0.175051	0.456638	0
JAK3	0.770304	0.419091	0.397963	0.116891	0.0971245	0.0350127	0.00181385	0.00392548	0.525399	1.3949	0.196678	0.0285047	0
JAKMIP1	0.0322366	0.000114703	0	0	0	0	0	0	0.221531	0	0	0	0
JAKMIP2	0.0001855	0.000383854	0	0	0.00180642	0.0355778	0.0908677	0.219411	0	0	3.53344e-05	0	0
JAM2	0	0.000185361	0	0.606672	2.0655	0.0425169	0	0	0	0	0.0382338	0	1.68423
JAM3	0	0	0	0.0480938	0.00553267	0.11282	0	0	0	0	0.0362531	0.00484713	0
JARID2	0.0276424	0	0.534298	0.0750612	0	0.0758633	0.146644	0.345321	0.645389	0	0.0655192	0	0.358921
JAZF1	0.0658513	0.00591293	0	0.0678646	0	0.0346166	0.0701099	0	0	0	0.00152757	0.000312758	0
JDP2	0.000288158	0	0.000446706	0.0362421	0.213512	0.187932	0.253817	0	0	0	0.0498364	0	0
JKAMP	0.160436	0.0956213	0	0.178478	0	0.426262	0.044311	0.632852	0	0	0.327978	0.407066	0
JMJD1C	0.355101	0.197613	0.0618678	0.661524	0.842484	0.331129	0.92019	0.0363125	0	0	0.113779	0.176487	0
JMJD4	0.0151023	0	0.000472377	0	0	0.0250769	0	0	0	0	0.0352242	0.0361754	0
JMJD6	0.270255	0.156545	0.538846	0.109597	0.0051561	0.119652	0.136988	0.425389	0.017569	0	0.00619677	0.243592	0.542793
JMJD8	0.0956555	0.000918667	0.0281427	0.0187156	0.0533704	0.0928395	0.0617454	0	0	0	0.0737869	0.117723	0.188031
JMY	0.240766	0	0	0.0406946	0.172084	0.0424038	0.177698	0	0	0	0.0489012	0.144969	0.941428
JOSD1	0.120229	0.000573921	0	0.0864469	0	0.104315	0.108601	0.00101878	0	0	0.131078	0.00942142	0
JOSD2	0	0	0	0.0779797	0	0.157283	0.22078	0	0	0	0.0777522	0.0615139	0.361624
JPH2	0	0	0.000472377	0	0	0.00780735	0	0	0	0	0.30367	0.0475804	0
JPX	0.0848437	0.0596773	0.229835	0.0233519	0.129352	0.10818	0.00483659	0.471616	0	0	0.123274	0.00546672	0
JRK	0.0656317	0	0	0.0520695	0	0.0460836	0	0	0	0	0.0013942	0	0
JRKL	0.0296889	0	0.11959	0.0007808	0	0.0580624	0.000146931	0.000204338	0	0	0.00662839	0.00469931	0
JSRP1	0	0	0	0	0.00172758	0.000328728	0.000337719	0.000778241	0.00199241	0	6.53174e-05	0.000425856	0
JTB	0.538868	0.481006	0.686595	0.310429	0.214978	0.443708	0.218273	0.240454	0.625549	0	0.382309	0.354547	0.26586
JUN	0.888074	1.04814	0.97187	0.783053	1.48307	1.66058	1.01055	1.77452	1.19648	0	0.726201	0.602035	0.49697
JUNB	0.931808	0.753398	2.44211	1.46583	1.37921	2.13861	0.91254	1.49269	0.778133	3.52753	1.81332	1.11729	1.55278
JUND	0.647115	0.838285	0.0688356	0.415856	0.782362	0.69958	1.0384	0.528104	1.08883	2.55737	0.325728	0.353371	0.432305
JUP	0	0	0.00656029	0.051314	0	0.131658	0.00992018	0.000204338	0	0	0.114024	0	0
KALRN	0.000273945	0.0724477	0.992279	0.220655	0	0	0	0	0.000945777	0	0.178506	0.14734	0
KANK1	0.0307644	0.196074	0.429837	0.114576	0.414432	0.300478	0.0588686	0	0	0	0.0030988	0.261565	0
KANK2	0.010322	0	0	0.026634	0.172489	0.62782	0.0750854	0	0	0	0.753269	0.651503	0
KANK3	0	0	0.0913036	0.209767	0	6.10433e-05	0	0	0	0	0	0.0754093	0
KANSL1	0.258968	0.172414	0.19747	0.17505	0.670199	0.13803	0.269215	0	0	0.659051	0.126099	0.107654	0.143147
KANSL1-AS1	0	0.0837892	0	0	0	0.0120207	0	0	0	0	0.0444065	0	0
KANSL1L	0	0.00015196	0	0.019065	0	0.0554063	0.00098341	0.33594	0.481022	0	0.0201886	0.0657016	0
KANSL2	0.1184	0.0768671	0.324146	0.108504	0	0.280446	0.127309	0.287208	0	0	0.069676	0.266797	0
KANSL3	0.149946	0.195732	0	0.0635545	0.59644	0.0646988	0.0486119	0.318104	0	0	0.0581353	0.102586	0
KAT2A	0.110093	0	0.584977	0.101261	0	0.090682	0.0214182	0	0	0	0.0254054	0	0
KAT2B	0.121266	0.216191	0	0.0731633	0.0407111	0.0532582	0.0297447	0.0153332	0.492319	0	0.0265357	0.00551927	0
KAT5	0	0	0	0.0491248	0.495311	0.00234708	0.0525154	0	0	0	0.142611	0.141381	0
KAT6A	0.335296	0.00459782	0.59301	0.320195	0.739573	0.155399	0.284621	0.305532	0.624519	1.31535	0.0915802	0.278378	0
KAT6B	0.412289	0.0841123	0.560269	0.175352	0	0.160575	0.0303076	0.268947	0.234959	0	0.093306	0.192982	0
KAT7	0.0534013	0.11611	0.000472377	0.13259	0.557753	0.181516	0.0617821	0.0371499	0	0	0.256996	0.0631433	0
KAT8	0.000104411	0.0156209	0	0.136144	0.0254988	0.0684933	0.169824	0.519273	0	0	0.0734109	0.00308109	0.814535
KATNA1	0	0.0948066	0.289936	0.0923362	0	0.150818	0.0945412	0.217204	0.311225	0	0.0512578	0.119634	1.70088
KATNAL1	0.162191	0.0638827	0	0.0304621	0	0.0622889	0	0	0	0	0.082853	0.145284	0
KATNAL2	0.000172322	0	0	0	0	0.0269202	0.101796	0	0	0	0.0350801	0	0
KATNB1	0	0.0128094	0	0	0.0643775	0.00587769	0.00125076	0.028458	0	0	0.0273131	0	0.772797
KATNBL1	0.169501	0.058468	0	0.223146	0	0.112279	0.119055	0	0.438915	0	0.251598	0.102094	0
KAZALD1	0	0	0	0	0	0.0643771	0	0	0	0	0.0972774	0.000451952	0
KAZN	0	0	0	0.00763499	0	0.08143	0.00274641	0.0787756	0	0	0.0707481	0	0
KBTBD2	0.46779	0.264949	1.30062	0.430527	0.427763	0.145401	0.0488577	0.45226	0	0	0.109999	0.0252633	1.40126
KBTBD3	0.0612952	0.0917745	0.243956	0.113473	0.317753	0.0681882	0.0654641	0.0564883	0	0	0.0270228	0.155337	0
KBTBD4	0.0416592	0	0	0	0.310791	0.0327631	0	0	0	0	0.0915205	0	0
KBTBD7	0	0	0	0.0259045	0.000452523	0.0967106	0.01079	0	0	0	0.108065	0	0
KBTBD8	0	0.0650459	0	0	0	0	0.00105251	0	0	0	0	0	0
KCMF1	0.148502	0.0131824	0.300767	0.131729	0	0.0392539	0.0099103	0	0	0	0.096752	0.01334	0
KCNA3	0.350883	0.350728	0	0.0293665	0	0	0	0	0	0	0	0	0
KCNA5	0	0	0	0	0	0	0	0	0	0	0.178165	0.0954685	0
KCNA6	0	0	0	0	0	0	0	0	0	0	0.000683812	0.000375069	0
KCNAB1	0	0.119595	0	0.027202	0	0.0172551	0.00812347	0	0	0	0.409357	0.251348	0
KCNAB2	0.122134	0.0153992	0	0	0	0	0.16041	0	0.102935	0	0.000652332	0	0
KCNB1	0	0	0	0.0667907	0	0.0850255	0.000209969	0	0	0	0.0843007	0	0
KCNC4	0	0	0.336662	0.259599	0	0.0379885	0.0494647	0	0	0	0.0598203	0.0847867	0
KCND1	0	0	0	0.0644601	0	0.188026	0	0	0.000945777	0	0	0	0
KCND3	0	0	0	0.000647999	0.60313	0.183907	0	0	0	0	0.0845147	0.117331	0.0233838
KCNE1	0	0	0	0	0	0	0.107473	0	0	0	0	0.000226487	0
KCNE3	0	0	0	0.0327148	0.000452523	0.0887083	0.156107	0	0	0	0	0	0
KCNE4	0	0	0	0	0	0.332408	0	0	0	0	0.419542	0.198088	0
KCNH7	0	0	0	0.000117728	0	4.76962e-05	0.00150318	0	0	0	0	0	0
KCNIP3	0	0	0	0	0	0.0510196	0	0	0	0	0.117699	0	0
KCNJ15	0	0	0	0.0470144	0	0.0201653	0	0	0	0.477022	0	0	0
KCNJ16	0.000172322	0	0	0.000104068	0	0.0034	0.00527084	0	0	0	0	0	0
KCNJ2	0	0	0	0.0645545	0.513106	0.0017707	0.112313	0	0	0	0.000889373	0	0
KCNJ3	0	0	0	5.67981e-05	0	0	0.00284235	0	0	0	0	6.56533e-05	0
KCNJ5	0	0	0	0	0	0.00186627	0.0338216	0	0	0	0	0	0
KCNJ6	0	0	0	0.000174346	0	0	0	0	0	0	9.11473e-05	0	0
KCNJ8	0	0	0	0	0	0.162171	0	0	0	0	0.265694	0.082412	0
KCNK1	0	0	0	0	0	0.122805	0	0	0	0	0	0.000410268	0
KCNK15	0	0	0	0	0	0.10066	0	0	0	0	0	0.0140131	0
KCNK2	0	0	0	0	0	0.102861	0	0	0	0	0	0	0
KCNK3	0	0	0	0	0	0	0	0	0	0	0.373703	0.0768278	0
KCNK5	0	0	0	0.0120031	0	0.00132123	0	0	0	0	0	0	0
KCNK6	0.0704891	0.0926046	0.0335756	0.130293	0	0.121642	0.0883053	0.285618	0	0	0.0589146	0.189885	0
KCNMA1	0.000643647	0	0	0	0	0.0385829	0.065765	0.375937	0	0	0.0987896	0.202536	0.000919893
KCNMB1	0	0	0	0.0300176	0	0.000491141	0.0104646	0	0	0	0.553353	0.661651	0
KCNMB4	0	0	0.213222	0.0778383	0.188328	0.0174858	0.000831543	0	0	0	0	0	0
KCNN3	0	0	0	0.0868627	0	5.82659e-05	0	0.000204338	0	0	0	0	0
KCNN4	0.0170578	0	0	0.00400524	0	0	5.2979e-05	0	0	0	0	0	0
KCNQ1	0.0114212	0	0	0.0449287	0	0	0.0420626	0	0	0	0	0	0
KCNQ1OT1	0.114256	0.1082	0	0.0121329	0	0.160337	0.288753	0.649007	0.00112935	0	0.0529701	0.091828	0.0199665
KCNQ4	0	0	0	0	0	0	0	0	0	0	0.0651354	0	0
KCNQ5	0	0.000736547	0	7.52876e-05	0.00172758	1.88631e-05	0	0	0	0	0.000128676	8.81159e-05	0
KCNS3	0	0	0	0	0.613806	0.0267157	0	0	0	0	0	0.0698767	0
KCNT2	0	0	0	0	0	0.0246354	0.000271287	0	0	0	0.0470423	0	0
KCP	0.0121208	0	0	0.00805093	0	0.0101304	0.00752374	0.0559537	0	0	0.00777781	0.027589	0.0109895
KCTD1	0	0	0	0	0	0.0357074	0	0	0	0	0.0568815	0	0
KCTD10	0.123424	0	0	0.0864964	0.791884	0.108024	0.00429804	0.589301	0	0	0.288985	0.296451	0.180648
KCTD12	0.0368072	0	1.02063	0.617582	1.59222	0.146163	0.767114	0	0	0	0.142522	0.0311149	0.779853
KCTD13	0.0555543	0.135357	0	0.0607485	0.387654	0.0194778	0	0	0	0	0.0484436	0.0146755	0
KCTD15	5.22822e-05	0	0	0.0598362	0	0.0764344	0.0822005	0	0	0	0.113193	0.0864086	0
KCTD16	0	0	0	0	0	0.0205792	0.000146931	0	0	0	4.01211e-05	0	0
KCTD17	0	0	0	0	0	0.0137532	0.0181728	0	0	0	0.0024005	0	0
KCTD18	0	0.000151747	0	0	0	0.0531133	0.0936665	0	0	0	0.0120287	0	0
KCTD19	0	0	0	0	0	0.000104616	0.00105251	0	0	0	0	0	0
KCTD2	0	0	0	0.00290603	0	0.0910983	0	0.122741	0	0	0.121022	0	0
KCTD20	0.194441	0.310277	0	0.161033	0.837984	0.180876	0.143812	0.419157	0.271476	0	0.261712	0.30903	0
KCTD21	0	0	0	0.00343266	0	0.0549072	0.0714623	0	0	0	0.000234068	0.000142796	0
KCTD3	0.000104411	0	0.489784	0.126338	0	0.209614	0.00313653	0	0	0	0.0702405	0.0842473	0
KCTD5	0.0117959	0.00788707	0	0.0759455	0	0.02352	0.142314	0.00158316	0.189577	0	0	0	0
KCTD6	0	0	0	0.0485411	0.642099	0.156718	0	0	0	0	0.161963	0.178488	1.05163
KCTD7	0.0879774	0	0	0	0.0189754	0.0541559	0	0	0	0	0.0575138	0	0
KCTD9	0.0805854	0	0.0454582	0.0370158	0	0.271466	0.20041	0.139853	0	0	0.305457	0.576174	0.380374
KDELR1	0.0602861	0.0863939	0.315975	0.289159	0.00172758	0.502304	0.162406	0.0983446	0	0	0.240502	0.326845	0.588759
KDELR2	0.0170068	0	0.522359	0.431959	1.40322	1.16668	0.449215	0.377138	0	0	0.721067	0.958997	1.36103
KDELR3	0	0	0	0	0	0.463311	0	0	0	0	0.0873946	0.235796	0
KDM1A	0.0765833	0.00620345	0.186155	0.317418	0.667237	0.0921542	0.387053	0.273068	0.140348	0	0.023627	0.123458	0
KDM1B	0.00609971	0	0	0.0211155	0	0.0138517	0.121512	0	0	0	0	0	0
KDM2A	0.300521	0.213661	0.579473	0.456587	0	0.143622	0.171074	0.318646	0.0851698	0	0.0778809	0.113069	1.11908
KDM2B	0.00506131	0	0	0	0	0.0217063	0.0386049	0	0	0	0.000571464	0.121494	0.360274
KDM3A	0.138785	0.0223251	0	0.169845	0.00685722	0.0858043	0.318949	0	0.0983877	0	0.0630915	0.0936897	0
KDM3B	0.0809268	0.00107079	0.397855	0.235082	0	0.0937071	0.123185	0	0	0	0.306474	0.251537	0
KDM4A	0	0.0870436	0	0	0	0	0.0122004	0	0	0	0	0.00013122	0
KDM4B	0	0	0	0.0013817	0	0.0758855	0.0190148	0	0.0530779	0	0.0475358	0.0502089	0.596963
KDM4C	0.113043	0.173518	0.0146902	0.253883	0	0.023662	0.0773564	0	0.438402	0	0.0463324	0.0754926	0
KDM5A	0.365228	0.445082	1.42563	0.337978	0.325065	0.389749	0.240491	0	0.934379	0	0.306697	0.116023	1.02813
KDM5B	0.060038	0.00043392	0	0.190944	0	0.213063	0.108564	0.198444	0	0	0.102535	0.0976933	0
KDM5C	0	0.0228187	0.0649951	0.00116124	0	0.00654031	0.00911251	0	0	0	0.0134717	0	0
KDM5D	0.00140545	0.3031	0.412564	0.0391813	0	0.133608	0.0853356	0.368879	0.127486	0	0.134239	0	0
KDM6A	0.235163	0.000605203	0	0.0371701	0	0.0887503	0.125599	0	0.117802	0	0.0319064	0.0014319	0
KDM6B	0.136772	0.239112	0	0.166941	0.428371	0.0458724	0.310483	0.764649	0.333943	0.638729	0.0522392	0.127513	0
KDR	0	0	1.15526	0.471706	0.372895	0.0212307	0	0	0	0	0	0	0
KDSR	0.0048288	0.191525	0.0202099	0.273212	0.498592	0.406814	0.0790918	0.901884	0	0	0.0864962	0.174008	0.912599
KEAP1	0.148753	0	0	0.113934	0.120293	0.276282	0.0967837	0.380913	0	0	0.129963	0.131422	0.819903
KHDC1	0	0.142745	0	0	0	0.0109169	0	0	0	0	0	0.0173309	0
